,Job,Company,Location,Salary,Date,Education,Experience,Type,Scope,Detail,Url
14,python爬虫工程师急聘高薪8000+,东莞汇邦软件科技有限公司,东莞-南城区,0.8-1.5万/月,4月26日,大专,3-4年,民营公司,少于50人,岗位职责：1.梳理和解读业务，提供数据层面的问题解决方案；2.协助进行数据提取、清洗、转换等处理工作，搭建自动化的数据生产线；3.参与数据处理框架的开发和数据处理平台的建设；4.协助开发和维护独立的数据处理工具；5.协助优化和标准化数据处理流程，设计及制定可以复用的处理模式。职位要求：1.3年相关工作经验，大专及以上学历，计算机相关专业优先；2.熟练使用Python，有中型或大型项目的开发经验，能够把合理的思路成功地转化成实践；3.2年以上Linux平台使用经验，熟悉Bash，了解基本的命令和操作，能够配置和部署常见服务；4.熟悉C/C++编程，有大型系统开发背景优先；英文读写水平优秀者优先；有开源项目背景优先；5.良好的逻辑思维能力，良好的抽象和归纳能力，清晰的交流和表达能力，能在沟通中提炼问题的解决办法，并抽象出可以复用的思路。如有意向可拨打：1 8 6 6 5 8 5 3 2 4 4,https://jobs.51job.com/dongguan-ncq/127202509.html?s=02
15,爬虫开发工程师,深圳市易销科技有限公司,深圳-南山区,1-2万/月,4月26日,本科,3-4年,民营公司,50-150人,"1、负责设计分布式爬虫系统架构设计与开发;2、有丰富的电商平台爬取经验如亚马逊，1688等平台3、精通scrapy,scrapy-redis框架，有一定的源码分析能力;4、学习能力强，逻辑思维强，有一定的算法能力;5、精通代理池，cookie池搭建和使用以及验证码识别破解能力;6、熟悉Flask/Django/Tornado等web开发框架;7、Python基础扎实;8、开源贡献者优先，github源码者技术博客;任职要求：1.学历要求：本科学历，计算机、数学、统计学相关专业；2.工作经验：3年以上爬虫开发经验，精通爬虫与反爬虫技术，能独立完成爬虫、清洗、入库、数据处理等工作。有大数据、分布式等项目经验优先；3.综合素质：有良好的沟通互动能力，逻辑清晰，文字表达能力强，能承担较大压力，执行力强；4.工具技能：精通python，熟悉掌握sql，熟悉html、javascript等技术。",https://jobs.51job.com/shenzhen-nsq/130402095.html?s=02
16,高级爬虫工程师,广州聚焦网络技术有限公司,广州,1-1.5万/月,4月26日,本科,3-4年,民营公司,500-1000人,"岗位职责1.参与爬虫系统架构设计和研发；2.负责开发高性能抓取架构，支持业务发展；3.负责对爬取数据进行分类和解析；3.参与大数据系统的开发维护任职要求1、熟练掌握Python开发语言,3年以上的的爬虫工作经验；2、1-2年以上大规模网页爬虫开发经验，有前端JS逆向工程经验优先；3、熟悉分布式系统的设计与实现,解决反爬虫、网络异常等各种常见爬虫问题；4、熟悉app端数据抓取（有逆向、脱壳等经验），掌握Apktool、dex2jar、JD-GUI等工具，抓取过主流电商平台和主流app软件；5、熟悉Hbase/Elasticsearch/kafka等大数据相关技术；6、工作踏实认真，思路清晰，有强烈的责任心、优秀的协调沟通能力和团队合作精神；",https://jobs.51job.com/guangzhou/127244366.html?s=02
17,python爬虫工程师,广州市万联网络科技有限公司,广州-天河区,1.5-2万/月,4月26日,本科,2年,民营公司,50-150人,"岗位职责：1、负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析工作；2、解决技术疑难问题，包括反反爬、验证码、压力控制等，提升抓取的效率和质量；3、研究各种网站、链接的形态，发现它们的特点和规律；4、负责爬虫逻辑的开发，以及API接口的对接，快速响应业务变动。任职要求：1、本科及以上学历，计算机相关专业，3年以上Python开发和管理经验；2、有扎实的算法和数据结构能力，有扎实python语言基础，熟悉多线程、协成、IO多路复用等概念；3、熟悉常见的反爬机制，熟悉JS逆向/selenium,了解Appnium/pyppeteer；4、熟悉公众号、小程序的数据抓取，能够解决封账号、封IP、验证码识别、图像识别等问题；5、熟悉APP端数据的抓取，掌握Apktool\Xpose\HttpCanary\dex2jar等工具的使用；7、熟悉Django后端技术，了解Flask\Sanic异步网络框架，熟悉celery/supervisor，熟悉MySQL、Redis等常用数据库；8、了解Tensorflow，了解CNN模型优先，开发过验证码识别模型经验为佳。",https://jobs.51job.com/guangzhou-thq/126983790.html?s=02
18,爬虫工程师,网易集团,广州-天河区,1.5-2.5万/月,4月26日,本科,1年,上市公司,10000人以上,"【工作内容】-负责指定的网站进行页面抓取、数据清理提取；-参与已有爬虫系统中作业的检验，设计和优化爬虫策略，充分利用已有服务器和宽带资源进行优化；-针对APP数据进行抓包分析，爬取APP数据并整合存储；-对大规模数据进行处理和简单分析（Hadoop集群）；-能积极反馈和沟通工作进度和面临的工作问题。【职位要求】-本科及以上学历，计算机相关专业；-掌握Python、Java等编程语言，了解多线程、多进程、网络通信等编程相关知识；-掌握网页抓取原理，了解TCP/HTTP协议、Html/Js/Css、Ajax等技术，熟悉一般的网站登陆原理；-具有实际爬虫开发工作经验，熟悉常见爬虫框架和工具，比如pyspider,scrapy和Selenium等；-了解爬虫框架原理、有过APP抓包分析经验者优先；-具有Hadoop、数据挖掘、自然语言处理等相关经验者优先；-能够快速学习和掌握新技术，优秀的分析、解决问题能力，具备团队合作精神。",https://jobs.51job.com/guangzhou-thq/126540661.html?s=02
19,爬虫开发工程师,同程数科,上海-浦东新区,2-3万/月,4月23日,本科,3-4年,民营公司,150-500人,"岗位职责：1、负责多平台信息爬取和页面内容的提取分析，负责破解各类反爬机制；2、负责APP的数据抓取和爬取链路优化（包括APP反编译、逆向分析、脱壳、加密参数破解、抓取攻防等），提升抓取能力；3、研究爬虫策略和防屏蔽规则，解决封账号、封IP、验证码、页面跳转等难点，提升网页抓取的效率和质量；4、负责爬虫平台的构建，实现爬虫产品可视化、产品化；5、辅导培养爬虫相关研发人员。任职要求：1、3年以上Python爬虫经验；2、熟悉多线程、网络编程、网页抓取原理、正则表达式、HTTP协议等；3、熟悉任意开源web框架，如Flask,Django等；4、熟悉任意开源爬虫框架，如scrapy-splash、pyspider等；5、熟练使用Mysql、Redis、Kafka等中间件；6、有海量主流电商平台数据爬取经验，能迅速响应电商平台变动做规则调整；7、有开发爬虫框架经验优先，熟悉反爬虫、验证码识别技术者优先；8、熟悉编写网络爬虫采集规则，对反爬、加解密、代理、模板、app破壳、Android逆向等关键技术理解透彻，具有群控和搜索相关技术研发经验者优先；9、较强的沟通能力，对解决挑战型问题充满激情，人品好，耐得住寂寞。",https://jobs.51job.com/shanghai-pdxq/127350023.html?s=02
20,爬虫开发工程师,北京北大方正电子有限公司,北京-海淀区,1.5-2万/月,4月15日,本科,3-4年,国企,1000-5000人,职责描述: 1.参与爬虫系统的架构设计、核心模块(抓取调度，页面解析和结构化抽取，海量数据存储和读取等)开发，改进和提升爬虫效率； 2.攻破各种反爬策略，快速解决各类技术疑难问题，建设反爬对抗组件库； 3.完善爬虫的技术指标体系，并基于指标迭代优化爬虫基础能力，指标体系中，全面性指标的建立，基于随机采样，估计系统总体目标信息； 4.技术难题攻关，解决实际开发过程碰到的各类问题； 任职要求： 1.计算机或相关专业，本科或以上学历，3年以上爬虫开发经验； 2.精通至少一种开发语言，如Python、Java，熟练掌握至少一种开源爬虫框架，熟练掌握mongo、redis、mq、hadoop等相关技术； 3.对爬虫有浓厚的兴趣，责任感强，有较好的交流沟通能力和团队合作能力； 4.优先条件：参与过分布式爬虫系统设计和开发；有自己的爬虫作品；参与过开源爬虫项目并贡献代码；深入研究过开源爬虫项目源码。,https://jobs.51job.com/beijing-hdq/124318948.html?s=02
21,爬虫开发工程师,天狮集团有限公司中国区,北京,2-3万/月,4月26日,本科,5-7年,民营公司,1000-5000人,1、负责设计和开发通用爬虫系统，提取和分析国内外电商网站的数据；2、解决技术疑难问题，包括反反爬、压力控制等，提升网页抓取的效率和质量；3、实时监控爬虫的进度和警报反馈任职要求：1、精通python、计算机网络，熟练使用多线程，熟悉Scrapy/Pyspider等常用爬虫框架；2、熟悉Linux操作、正则表达式，MySQL、MongoDB等常用数据库，了解各种Web前端技术；3、能够解决封账号、封IP、验证码识别、图像识别等问题；,https://jobs.51job.com/beijing/130885429.html?s=02
22,爬虫开发工程师,汉王科技股份有限公司,武汉-东湖新技术产业开发区,0.7-1万/月,4月11日,本科,2年,民营公司,500-1000人,职责描述：1、负责网络爬虫程序设计，开发及维护，对目标网站进行数据爬取分析，找到最优化的爬取策略。2、负责爬虫系统的架构设计和研发，独立进行抓取和清洗工作；3、负责技术难点的攻克；4、负责大规模数据爬虫的性能优化工作；任职要求：1、计算机相关专业本科及以上学历，1年以上爬虫工作经验者优先；2、精通网页抓取原理及技术，精通正则表达式，熟练从结构化和非结构化的数据中获取信息；3、精通PYTHON语言，熟悉数据库性能优化与常见缓存技术与策略；4、精通一种开源爬虫框架，如scrapy、webmagic、nutch、heritrix等等，有开发爬虫框架经验优先；熟悉反爬虫、验证码识别技术者优先；5、熟悉fiddler，charles等抓包工具；6、具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题解决问题；,https://jobs.51job.com/wuhan-dhxjs/130775092.html?s=02
23,高级爬虫工程师（逆向）,广州数说故事信息科技有限公司,广州-天河区,2-2.8万/月,4月26日,本科,3-4年,民营公司,150-500人,岗位职责1、负责各类电商平台和app端数据抓取和平台搭建；2、负责移动应用的逆向分析与开发，完成高质量编码和测试工作；3、负责项目重点、难点模块的技术攻关；4、参与终端项目的架构与优化；任职要求1、本科及以上学历，三年及以上相关工作经验；2、熟悉linux平台，熟练掌握Python/java/shell/http协议，熟悉HTML、DOM、XPath，掌握git、maven、svn等工具和实践，注重工程规范；3、熟悉app端数据抓取（有逆向、脱壳等经验），掌握Apktool、dex2jar、JD-GUI等工具，抓取过主流电商平台和主流app软件；4、两年以上逆向工作经验，有Android应用开发经验/iOS逆向经验/团队管理经验者优先；5、熟练掌握x86/x64/arm架构的反汇编技术，能够快速的对APP进行逆向分析；6、性格开朗、善于沟通，有良好的自我驱动学习能力，注重效率和团队意识，有团队管理经验优先。,https://jobs.51job.com/guangzhou-thq/131074033.html?s=02
24,爬虫开发工程师,江苏星和天数据科技有限公司,南京-玄武区,1.5-2万/月,4月26日,本科,3-4年,民营公司,少于50人,"1、负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析;2、设计爬虫策略和防屏蔽规则，提升网页和APP数据抓取的效率和质量;3、参与制定反爬安全策略;4、参与文本查重相关软件项目的研究、设计、优化、改进及代码实现；5、参与目标检测、图像/视频检索、OCR，人脸识别等图像/视频相关项目的研究和代码实现;6、参与音频样本的比对和相似度评测代码研究和代码实现;任职要求：1、有扎实的算法和数据结构基础，对分布式，并发，多线程，消息队列，jvm有比较深入的了解;2、具有大规模爬虫开发经验,了解验证码破解，js反爬，模拟登陆；3、有ElasticSearc搜索引擎或者hadoop、大数据、网络爬虫、分词系统等其中任一开发经验，将优先考虑;4、熟练掌握MySQL数据库或Redis、MongoDB等NoSQL数据库;5、有做过图片OCR识别、图片比对、音视频处理等项目经验。6、具有一定的编程能力，精通 C +＋、 Python 等编程工具；7、有熟练阅读英文文档的能力和优秀的学习能力;8、有算法开发工作3年以上相关工作经验;工作地址",https://jobs.51job.com/nanjing-xwq/129898364.html?s=02
25,爬虫工程师,深圳通达天下国际旅行社有限公司,深圳-罗湖区,1-1.5万/月,4月26日,大专,2年,民营公司,少于50人,"岗位职责：1、负责定向数据的采集与爬取、解析处理、入库及备份等数据日常工作；2、研究主流网站的爬取方法及数据清洗处理，负责非定向数据的清洗、整理、整合及合并等工作；3、及时解决生产系统上的问题；岗位要求：1、2年以上爬虫系统开发经验；2、使用技术框架包括但不限于：WebCollector，Selenium3、熟练使用正则表达式、xpath解析数据、搜索策略、算法、数据聚类、重组技术，熟悉反爬虫4、熟练掌握分布式爬虫，日采集量千万级别以上，并充分了解抓取策略(1、深度优先遍历策略2、宽度优先遍历策略3、反向链接数策略等)；、5、熟悉海量代理IP池建设，复杂验证码识别6、熟悉抓包工具(Wireshark,Fillder等)，熟悉网络通信编程，网页抓取原理及技术，熟悉HTTP传输协议，能模拟各类操作爬虫；熟悉爬虫实现原理机制；对分布式和多线程技术有一定了解；7、有较强的主动学习能力、逻辑思维能力、分析并解决问题的能力；8、较强的责任心及团队合作精神，有独立解决问题和快速学习并应用新技术的能力。加分项：1、有机票商旅系统经验者优先。2、有前端实际开发经验者优先。",https://jobs.51job.com/shenzhen-lhq/106935961.html?s=02
26,爬虫工程师,广州军创展览服务有限公司,广州-天河区,1-1.8万/月,4月26日,本科,2年,民营公司,50-150人,岗位职责：1、负责分布式网络爬虫系统的架构设计与开发；2、负责海量数据的爬取、清洗、解析、入库；3、负责破解各类反爬机制；4、不断提升数据抓取系统的自动化水平，负责一定程度的数据分析任务；5、负责大众点评、美团外卖、饿了么外卖平台的数据抓取。任职资格：1、计算机等相关专业本科及以上学位；2、熟练使用Python或Java；3、熟悉Scrapy或Webmagic等抓取框架的机制和实现；4、了解常见的反爬手段，了解前端知识；5、有移动端数据抓取的相关经验 ；6、加分项:有大规模爬虫系统实现的经验。,https://jobs.51job.com/guangzhou-thq/128663834.html?s=02
27,Python高级开发工程师,北京国研网信息有限公司,成都-武侯区,1-2万/月,4月26日,本科,5-7年,国企,150-500人,"岗位职责：1.负责分析新的数据需求,完成数据处理的设计(文档)和实现2.负责数据的采集、清洗、整理、合并等工作3.负责数据处理程序设计框架设计和搭建，数据处理性能优化,系统数据处理的能力提高4.部署和运维开发的代码程序，保证程序长期稳定运行5.监控线上的代码程序，并及时修复存在的bug问题任职要求：1.大学本科计算机专业毕业、5年以上的项目研发经验；2.精通Python编程及原理;3.熟悉Linux操作、正则表达式、MySQL、MongoDB等常用数据库，了解各种Web前端技术;4.熟练掌握ida、gdb、od等逆向分析工具;5.有数据库调优和海量数据库存储经验;6.精通APP破解（抓包-脱壳-重编译等);7.精通JS逆向;8.精通机器学习，能破解通用验证码。比如滑块，点选，空间坐标识别等，熟悉recapture；9.具备大数据相关行业的工作经验，掌握在海量数据下的逻辑处理方式，以及数据库设计原则；",https://jobs.51job.com/chengdu-whq/125872689.html?s=02
28,爬虫工程师,深圳市酷客智能科技有限公司,深圳-宝安区,1.5-2.5万/月,4月26日,本科,3-4年,民营公司,500-1000人,"岗位职责：1、负责数据采集项目；2、负责爬虫系统设计、开发和维护；3、其他相关工作。任职要求：1、本科及以上学历，计算机相关专业；2、熟练掌握Python/Java等一种或多种语言；3、熟悉Scrapy、WebMagic、Flask等框架；4、熟悉爬虫抓取原理，了解反爬策略；5、熟悉HTML、XPath、正则表达式、AJAX、HTTP协议等；6、熟悉MySQL、MongoDB、Elasticsearch、Redis等主流数据库；7、能做一些简单的数据清洗工作，熟练掌握Pandas,Numpy以及数据可视化者优先8、有良好的逻辑思维能力、沟通能力、学习能力、团队合作精神。加分项：1、大规模数据采集经验；2、熟悉Fiddler，Charles，BurpSuite，TCPDump，Wireshark,Mitmproxy等网络分析工具；2、具有分布式、多线程/协程/进程的编程经验。",https://jobs.51job.com/shenzhen-baq/131182885.html?s=02
29,python爬虫工程师,东莞市汇宏信息咨询有限公司,东莞-南城区,0.8-1.5万/月,4月26日,大专,3-4年,民营公司,50-150人,1.梳理和解读业务，提供数据层面的问题解决方案；2.协助进行数据提取、清洗、转换等处理工作，搭建自动化的数据生产线；3.参与数据处理框架的开发和数据处理平台的建设；4.协助开发和维护独立的数据处理工具；5.协助优化和标准化数据处理流程，设计及制定可以复用的处理模式。职位要求：1.3年相关工作经验，大专及以上学历，计算机相关专业优先；2.熟练使用Python，有中型或大型项目的开发经验，能够把合理的思路成功地转化成实践；3.2年以上Linux平台使用经验，熟悉Bash，了解基本的命令和操作，能够配置和部署常见服务；4.熟悉C/C++编程，有大型系统开发背景优先；英文读写水平优秀者优先；有开源项目背景优先；5.良好的逻辑思维能力，良好的抽象和归纳能力，清晰的交流和表达能力，能在沟通中提炼问题的解决办法，并抽象出可以复用的思路,https://jobs.51job.com/dongguan-ncq/127202977.html?s=02
